Unnamed: 0,Car,Review,Polarity_score,Sentiment
0,Mahindra Thar,"This is one of the most uncomfortable cars I've ever sat in, so please don't purchase it. Spending this much money on an off-roading car or jeep, whatever it's called is pointless if you want to buy a car for off-roading; it's just a waste of money. Despite the engine's high power, the ride quality is terrible and the seats are as comfy as those in...",-3.3535,Negative
1,Mahindra Thar,"If you're looking for a vehicle that offers great performance, power, and safety then Mahindra Thar is for you. You can feel the power of the car from behind the wheel. The maintenance cost is affordable but the parts on the vehicle to repair are hard to find.",2.155,Positive
2,Mahindra Thar,"The Mahindra Thar 4*4 is an exceptional vehicle that provides an unparalleled off-roading experience. The Thar is designed to take on any terrain with ease, thanks to its robust suspension, sturdy build, and high ground clearance. The 4*4 variant of the Mahindra Thar is a powerhouse that comes with a powerful diesel engine that delivers impressive ...",4.5845,Strongly Positive
3,Mahindra Thar,Very good & very powerful car in India. but the rear seats have average comfort. off-roading king for that. City mileage is 12 highway mileage is 17km per liter. pickup is very good. handling is very good. Mahindra was king of Indian roads. the wheelbase is very good. black color is great to look for the car.  suspension is a very soft eng...,4.8995,Strongly Positive
4,Mahindra Thar,"Mahindra Thar The suspension is a little firm at times, I received the vehicle after 2 months after booking, and the process was simple. A lot of extras are pushed by the dealer, so try to be specific and select which ones you truly need. The ride quality cannot be compared to that of a sedan, but it is a high-riding SUV. It was at first unsettling...",1.191,Positive
5,Mahindra Thar,"Mahindra Thar is gorgeous and luxurious. The interior and construction quality are excellent. I enjoy driving and riding in this automobile very much, and I do it ten times every day. Its pricing is competitive with that of comparable premium vehicles. Although I enjoy it, I also really adore it when I see it.",4.8115000000000006,Strongly Positive
6,Mahindra Thar,"Mahindra Thar Delivery was made earlier than expected. fantastic feeling However, compared to the previous version, this variation now features a lighter riding quality. New features include auto-start and auto-stop. Since the seats are quite high, the driver is in a more commanding position, yet the body roll is almost unchanged.",3.1245000000000003,Positive
7,Mahindra Thar,"I once owned a Mahindra Thar for a short time. Pro's 1. It can go anywhere. The vehicles are well-built, and you won't hesitate to leave the road or cross a divider. 2. M&M Suvs are mechanically sound. Most of the time, they wouldn't abandon you. Con's 1. Extremely high maintenance is required 2. Not quite comfortable on the highway - I was muc...",0.576,Positive
8,Mahindra Thar,"Great car for the price. If you buy this car do some light mods like a new headlight, taillight, and bumper. These light modifications make a lot of changes to the car visually. If mileage is a priority for you then go for the 2WD variant as it gives more mileage. Overall a good car. Rear seat space is an issue.",4.339,Strongly Positive
9,Mahindra Thar,"Mahindra Thar is gorgeous and luxurious. The interior and construction quality are excellent. I enjoy driving and riding in this automobile very much, and I do it ten times every day. Its pricing is competitive with that of comparable premium vehicles. Although I enjoy it, I also really adore it when I see it.",4.8115000000000006,Strongly Positive
10,Mahindra Thar,"Satisfied. The car is awesome under a budget of 200k. It's my dream car as it has a 4x4 system and awesome performance. The car is just the brand itself. When driving on road it will make feel like a gangster. Awesome manufacturing by Mahindra directly challenges the jeep and Suzuki Jimmy. In this, it's the best choice for customers.",4.8765,Strongly Positive
11,Mahindra Thar,The engine options on the Gen-2 Mahindra Thar include a 2.2-liter mHawk turbocharged diesel and a 2.0-liter medallion turbocharged petrol unit. The former outputs 130 PS-300 NM and the latter offers 150 PS-320 Nm. Transmission duties are handled by a 6-speed manual transmission while a 6-speed automatic unit is optional. 4X4 hardware is standard ac...,0.0,Neutral
12,Mahindra Thar,"Can't accommodate four passengers as comfortably as comparable SUVs of a similar price. Poor fuel efficiency. Best cheap off-road vehicle in the nation. Although driving in city traffic and on small roads is difficult, dashboard visibility is excellent, and you are sitting very high. Cons A rear camera is included. For me, it is undoubtedly a drive...",4.1125,Strongly Positive
13,Mahindra Thar,"Best car to date I drove in a 4×4 variant, I drove on all kinds of roads and the result was awesome. I would recommend my friends to purchase this masterpiece by Mahindra as it comes with light and easy-to-twirl steering, the interior is classy and matches your style, the exterior is recommendable and the ground space is awesome.",4.897,Strongly Positive
14,Mahindra Thar,Kudos to Mahindra for the exquisite design of Thar. If we talk about the design and outer look of the car it's brilliant (looks like a wrangler) which is a key advantage behind the attraction of this new thar. If we talk about the comfort and ease to drive then it feels like we are sacrificing comfort for looks. Mileage is fair which lies between 1...,4.843,Strongly Positive
15,Mahindra Thar,"Overall good performance. You can drive quickly and also with comfort. I like the model of this car. The model of this car looks promising. Black color looks fancier and also it gives a good Average. Without any hesitation, you can buy this car. I will suggest you take this Thar without any delay.",4.6785,Strongly Positive
16,Mahindra Thar,"I recently drove Mahindra Thar and I must say it is impressive. It has a powerful engine, a great look, and a comfortable ride. The interior is well-designed and spacious, and the exterior is rugged and stylish. Off-roading options make it a brilliant choice for adventurous drivers. Overall, the Mahindra Thar is a great vehicle that is sure to impr...",4.8895,Strongly Positive
17,Mahindra Thar,"Mahindra Thar - Value For Money I recently drove Mahindra Thar and I must say it is impressive. It has a powerful engine, great maneuverability, and a comfortable ride. The interior is well-designed and spacious, and the exterior is rugged and stylish. Off-roading options make it a brilliant choice for adventurous drivers. Overall, the Mahindra Tha...",4.843,Strongly Positive
18,Mahindra Thar,"I recently drove Mahindra Thar and I must say it is impressive. It has a powerful engine, great maneuverability, and a comfortable ride. The interior is well-designed and spacious, and the exterior is rugged and stylish. Off-roading options make it a brilliant choice for adventurous drivers. Overall, the Mahindra Thar is a great vehicle that is sur...",4.872,Strongly Positive
19,Mahindra Thar,"Thar always a first preference for off-road lovers to explore new places. Maintenance cost is also low. But in terms of mileage, I think this car beats all its competition because of having this heavy engine, this car gives it the best. In terms of features, this car doesn't need any features #NAAM HI KAFI HA. Finally, I must say this car can beat ...",4.5634999999999994,Strongly Positive
20,Mahindra Thar,Pure off-road car. Mahindra Thar Car model Image result for information about thar Mahindra Image result for information about thar Mahindra Image result for information about thar Mahindra Image result for information about thar Mahindra Image result for information about thar Mahindra Image result for information about thar Mahindra Image result ...,0.0,Neutral
21,Mahindra Thar,"Without a doubt, Mahindra did an excellent job with the Thar models, and as time passes, I'm also noticing more modern changes. And the Thar of today is setting goals for all of its competitors in terms of having greater equipment, more powerful terrain options, and just being rugged and elegant.",4.63,Strongly Positive
22,Mahindra Thar,"Thar is one of the most loved cars in India. So, many competitors are there like Gurkha and all but we want only Thar its best car because it's our company Mahindra Indian. It has good safety features and the mileage is also good. It is good for off-roading and it is good for city drives. Overall, this is a value for money.",4.935,Strongly Positive
23,Mahindra Thar,"Yeah, it's a good time to be a Thar fan. As always, though, we'll share a word of warning: Though every one of those thar is cool and capable, none is what we'd call civilized by modern standards. Ride comfort, handling, interior noise, safety ratings, fuel economy, cabin security? we could go on, but just know that there are reasons to consider an...",4.18,Strongly Positive
24,Mahindra Thar,"The unbeatable Mahindra Thar SUV for off-roading has several flaws in terms of fit and finish, poor legroom in the rear seat, a crowded boot, and uncomfortable suspension. Even though there is room for improvement the engine refinement and the class it provides are excellent.",2.7115,Positive
25,Mahindra Thar,Ultimate experience about that with a new excitement to start and drive the vehicle.Although a unique experience when we move towards offroads.which is the best experience ever and that increases my dopamine very fastly.,4.063,Strongly Positive
26,Mahindra Thar,"The Mahindra Thar is a rugged, off-road SUV with strong performance and a unique, retro design. The vehicle is powered by a 2.2-liter diesel engine that delivers a maximum power of 130 horsepower and a peak torque of 300 Nm. The engine is paired with a 6-speed manual transmission or an optional 6-speed automatic transmission. The Thar is built on a...",2.5530000000000004,Positive
27,Mahindra Thar,"I like the Mahindra Thar Mahindra Thar has good Milage and its other features of this car are amazing and amazing Mahindra Thar Black Thar is awesome and Good looking car and when you seat on Mahindra that you feel like Don, Mahiya Mahinder that is different your Others car in this segment it is best car under price segment",4.896,Strongly Positive
28,Mahindra Thar,"The Mahindra Thar is a rugged, off-road SUV that is perfect for adventure seekers. It has a solid build quality and can handle rough terrain with ease. The vehicle is equipped with a powerful engine and a 4WD system that provides excellent traction. The interior is basic but functional, with comfortable seating and a decent infotainment system. The...",4.572,Strongly Positive
29,Mahindra Thar,"Thar looks astonishingly handsome & screams style! I have fallen for it hook, line & sinker. The ?Jeep? styling & proportions are spot on (Jeep Wrangler xerox copy notwithstanding). It attracted as much attention as a yellow Porsche or red Mustang in Bombay and is an absolute head-turner. Kids young, citizens old & everyone else in ...",2.2505,Positive
30,Mahindra Thar,"Drove the new Mahindra Thar for the first time!!! What a Beast!!! The muscle, the Power, and the presence on the road are so royal that it was Goosebumps the moment I was at the wheel!! That feeling when people turn their heads and look at the machine hits differently! Especially when it's Black, perfect. 50 years from now, and still people are gon...",3.7409999999999997,Positive
31,Mahindra Thar,"The name Thar is a complete retro evergreen legacy, and the new variant makes it more affordable increasing its reach to the city sector. And especially the one who just wants to own a Thar and now their dreams could come true actually in budget with all same features, a 1.5-liter engine but with the same massive torque and with a lot lighter steer...",2.1075,Positive
32,Mahindra Thar,"I like Thar because it looks very impressive and the performance is really awesome. Its light and colour are too good, it gives great mileage and is good for offroading. It offers awesome features in this price range.",4.8854999999999995,Strongly Positive
33,Mahindra Thar,"Did I drive around my friend's Mahindra Thar, to be honest, it does give an off-roading experience, and it boasts a level of confidence. But I think the body language and style are a bit heavy and bulky. Though in the 14lacs price range, it is worth a deal and value for money.",4.147,Strongly Positive
34,Mahindra Thar,"The Mahindra Thar is a vehicle built for real off-roading. Its ability to negotiate rough terrain is genuine and in its latest iteration, it's also useable as an everyday vehicle. The Thar is available with diesel and petrol engine options and there are three roof options as well.",2.6334999999999997,Positive
35,Mahindra Thar,"I bought Mahindra Thar in an olive green matte finish color, and I bought it in the price range of 16lacs approx. I have LX4 STR convertible diesel AT model, and it was the best decision. The ride quality is amazing with next-level comfort but of course, can easily feel the speed breaker because the suspension is not that strong.",3.241,Positive
36,Mahindra Thar,"The Mahindra Thar is a vehicle built for real off-roading. Its ability to negotiate rough terrain is genuine and in its latest iteration, it's also useable as an everyday vehicle. The Thar is available with diesel and petrol engine options and there are three roof options as well.",2.6334999999999997,Positive
37,Mahindra Thar,"However, the by-products of an otherwise advanced Thar include thriftiness, fit and finish in some places, a few ergonomic annoyances, and some passenger discomfort. Contrarily, the new Thar has received more attention than any other vehicle I have driven so far.",-1.366,Negative
38,Mahindra Thar,"This is one of my favorite cars since it is the king of off-roading, has excellent build quality, and has a monstrous appearance. Overall, driving is enjoyable thanks to the vehicle's excellent off-roading, performance, and stability characteristics. In terms of suspension, comfort, and safety, it is an excellent automobile.",4.878,Strongly Positive
39,Mahindra Thar,"Well, there are too many good things about Mahindra's Thar. It gives an amazing road presence and excellent fuel efficiency. The looks are astonishingly admirable and simply charm anyone. Though there is a need to improve the engine as in city mileage is a bit poor than other rivals in the same segment.",4.8215,Strongly Positive
40,Mahindra Thar,"It's a king for off-roading, its build quality is too good, and it has a great look, this is one of my favorite cars. The overall driving experience is good with the best performance and off-roading qualities, and stability. It is an amazing car in terms of suspension, comfort, and safety.",4.890499999999999,Strongly Positive
41,Mahindra Thar,"The most convincing thing to buy Thar is its performance, off-roading qualities, and stability. It is an amazing car in terms of suspension, comfort, and safety. This car offers the best performance in the mid-range segment considering the off-roading capabilities and road presence. it has decent mileage and maintenance cost goes easy on your ...",4.7975,Strongly Positive
42,Mahindra Thar,"This year I bought Thar, and there are a few things with which I'm quite impressed such as the infotainment system, and in 4X4 mode, it helps a lot. The suspension is quite nice and satisfactory. The overall driving posture is commanding and stable. I honestly love Thar.",4.825,Strongly Positive
43,Mahindra Thar,"Very few elements from the previous model have been used in the design, chassis, engines, gearboxes, interior, or dashboard. Mahindra really picked the Thar as the launch vehicle for its newest engines, a 152 horsepower, 2.0-liter direct-injection turbo-petrol, and a 132 horsepower, 2.2-liter diesel. These two brand-new, cutting-edge, all-aluminum ...",0.0,Neutral
44,Mahindra Thar,"Based on our initial drive evaluation, we concluded that Thar is unquestionably more better and more contemporary than its predecessor. The Thar has been a hit from day one, quickly touching the hearts of consumers because Mahindra has improved it and made it a far more tempting proposition this time around. 
",3.7125000000000004,Positive
45,Mahindra Thar,This is a nice SUV with good comfort and looks. This is a product with great power.,4.531,Strongly Positive
46,Mahindra Thar,This car is looking very nice. The off-roading performance is good for my family members.,3.589,Positive
47,Mahindra Thar,Excellence performance in mountain areas and urban areas. It's a nice look with good features and the best color options.,4.6625,Strongly Positive
48,Mahindra Thar,"It is a superb car in looks, but maintenance is high. It is an awesome car with good mileage and a comfortable car.",4.776,Strongly Positive
49,Mahindra Thar,Mahindra Thar is one of the best cars for off-roading and is good for road trips. It's such a comfortable car with awesome colors.,4.691,Strongly Positive
50,Mahindra Thar,I bought my Thar in around February month at the starting price range of 14lacs in black matte finish color. As I'm in the army I drive around a lot due to my postings and leaves. I find it the best SUV for long journeys and the best for off-roading. In a few months it will almost a year of this purchase but I can say that I made the right decision...,3.1845,Positive
51,Mahindra Thar,Super wonder full car beautiful car comfortable car all feature is the good nice look I love it Mahindra Thar all is good wonder full body and road ripping nice feature Mahindra thank you for launching the car.,4.9105,Strongly Positive
52,Mahindra Thar,"This is a superb car for offroading, performance is top-notch with the top class features. The safety features and build quality is also amazing. It looks awesome and is good for city drives.",4.806,Strongly Positive
53,Mahindra Thar,"It's a comfortable car with good safety. It's not too costly, but all features are available in it.",3.1535,Positive
54,Mahindra Thar,"Thar offers the best performance in the mid-range segment considering the off-road capabilities, comfort, confidence, and road presence. Its dominance on different terrains takes it way ahead of its competitors, it has decent milenge, and maintenance cost goes easy on your pocket too. The best part about Thar is that it's easily a go-to car, be it ...",4.826,Strongly Positive
55,Mahindra Thar,"Mahindra Thar had a good experience with me. It has a stylish look that beats Fortuner, Harrier, and Gurkha. When it running on the road everyone looks my car at once this gave me a proud feeling. I like its power 4*4 as it is good for off-roading. It is a 4 seater car but 5 people can seat very comfortably. I like its interior design which gives a...",4.6185,Strongly Positive
56,Mahindra Thar,"Many individuals were interested in purchasing the ancient Thar, but they never did because it was unsuitable for everyday use, unsuitable for families, and extremely tacky inside but for individuals and to show off it was amazing a must-buy for stags.",3.9675,Positive
